???????,???????????? ???????,???????? ???????,???????????? ???????,??????????? ???????,?????????? ???????,????????? ???????,??????????? ???????,??????? ???????,???????? ???????,?????????? ???????,????????? ???????,????????? ???????,?????????? ???????,?????????? ???????,???????? ???????,???????? ???????,??????????? ???????,?. ??????,?????????? ???????,?????????? ????,????????????? ???????,??????????? ???????,????????p?????? ???????,????????????? ???????,?????????? ???????,???????????? ???????,????????? ???????,?. ?????-?????????,?????????? ??????,?????????? ????????,????????????? ????,???????????? ???????,????????????? ???????,?????????? ???????,?????????? ????????,?????????? ?????????,?????????-?????????? ??????????,?????????-?????????? ??????????,?????????? ???????? ?????? – ??????,????????? ??????????,?????????????? ????,?????????? ????????????,?????????? ????? ??,?????????? ????????,?????????? ?????????,?????????? ??????????,????????? ??????????,???????? ????,????????? ???????,????????????? ???????,???????????? ???????,?????????? ???????,????????? ???????,??????????? ???????,??????????? ???????,?????????? ???????,???????????? ???????,????????? ???????,??????????? ???????,?????????? ?????,?????????? ????,?????????? ???????,????????? ????,???????????? ????,????????? ???????,??????????? ???????,????????????? ???????,?????? ???????,??????? ???????,?????????? ???????,????????????? ????,?????????? ???? (??????),?????????? ????,?????????? ????,??????????? ????,???????? ???????,??????????? ???????,??????????? ???????,????????? ?????????? ???????,????????? ?????????? ?????
2010,5.9,6.8,9,7.6,6.9,5.6,4.9,7.2,8.2,3.2,6.3,5.2,7.7,8.6,5.8,5,3.9,0.8,8.8,11.1,5.5,5.2,6.5,7.2,8.7,5.8,6.3,2.2,13,18,7.4,12.2,6.7,8.5,22.1,63.1,23.9,13.8,8.8,43,6.9,7,10,6.6,6.7,7.8,11.7,8.1,7.2,6,9.2,6.6,5.4,9.2,7.7,11.4,6.8,6.7,5.3,9.4,21.9,8.9,8.8,9.5,9.8,8.6,7.9,8.7,10.5,12.2,8.6,9.2,8.4,8,5.8,9.9,6.9,7.7,7.9,4.2
2011,5.2,8,6.1,7.5,7.6,6.7,6,8.2,4.5,3.3,8.9,8.4,7.4,7.8,6.6,5.8,7.5,1.8,9.3,10.1,6.9,7.8,10.3,5.2,8.6,5.6,9.5,2.6,9.3,14.8,6.7,8.2,8,7.7,14.8,49.7,12.7,10.3,9.7,43.3,6.9,8.9,10.5,5.4,6.2,9.3,9.5,8.3,8.6,7.7,7.2,6.4,5.8,6.3,8.8,12.1,8.4,6.9,7.5,12.2,21.7,9.1,8.8,6.2,10.1,8.9,7.7,8.1,7.7,10.4,11.1,8.9,7,9.5,8.9,6.9,5.6,8.9,9.3,4.5
2012,5.1,7.8,6,7.4,7.4,6.6,5.9,8,4.4,3.2,8.7,8.2,7.3,7.6,6.5,5.7,7.4,1.8,9.1,9.9,6.8,7.6,10.1,5.1,8.4,5.5,9.3,2.5,9.1,14.5,6.6,8,7.8,7.5,14.5,48.7,12.4,10.1,9.5,42.4,6.8,8.7,10.3,5.3,6.1,9.1,9.3,8.1,8.4,7.5,7.1,6.3,5.7,6.2,8.6,11.9,8.2,6.8,7.4,12,21.3,8.9,8.6,6.1,9.9,8.7,7.5,7.9,7.5,10.2,10.9,8.7,6.9,9.3,8.7,6.8,5.5,8.7,9.1,4.4
2013,4,5.2,3.8,4.7,5.2,4.5,4.9,4.6,3.7,2.8,5.8,4.7,5.2,4.6,5.3,4.2,4.5,1.7,8.2,7.1,6.1,6.1,5.6,4.3,7.2,4.6,7,1.5,7.9,12.5,6.1,7.5,6.6,6,11.6,43.7,10.5,9.8,8.1,26.9,5.6,5.8,5.2,4.4,4,5.7,5.7,6.5,5.6,4.3,4.9,4.8,3.2,5.2,5.5,7.5,5.9,4.7,6,11.5,19.3,6,8.3,5.7,8.3,6,5.9,6.8,7.6,8,10.5,7.4,5.7,7.1,5.7,6.1,2.9,7.2,8.3,3.3
2014,4,5,4.3,4.5,4.3,4.2,4.3,3.9,3.7,2.7,5.1,4.4,5.1,4.3,5.3,4.1,3.8,1.5,8.1,6,7.2,5.6,5.4,4.5,6.7,3.7,6.5,1.4,8.6,10.9,5.7,7.5,6.6,5.9,10.2,29.8,9.5,13,8.6,21.5,5.3,5.3,4.8,4.2,3.9,5.1,5,5.8,5.1,4.2,4.4,4.6,3,4.6,4.8,7,6.1,4.7,6.2,10.4,19.1,6.2,7.2,5,8.8,6.2,5.1,6.7,7.6,8.4,10,7.4,6.1,6.9,5.9,5.6,3.1,6.5,8.7,3.2
2015,4.1,4.6,5.6,4.5,5.6,4.3,5.3,4.2,4.1,3.3,6.2,4.7,6.2,4.6,5.6,4.1,5.3,1.8,8.8,7,6.8,6.8,5.7,5.1,7.8,4.6,6.9,2.1,8.8,10.7,6,7.5,7.2,6.1,10.8,30.5,10.1,15.1,9.3,17.1,5.6,6.1,5.3,4.2,4,5,5,6.3,5.3,4.3,4.8,4.7,3.4,4.7,4.9,7.5,6.5,4.9,7,9.7,18.6,5.8,8,6.2,8.2,7.7,6.9,6.8,7.7,9.2,10.4,7.3,4.5,6.9,5.3,5.8,4.3,6.3,7.9,4
2016,4,4.6,5.6,4.5,5.6,4.2,5.5,4.3,4,3.3,6.4,4.4,6.1,4.5,5.8,4.1,6.7,1.8,9.2,8.7,7.1,6.6,6,4.6,7.7,4.9,6.7,1.6,9,10.6,5.8,7.6,6.8,5.8,10.9,30.2,10.3,14.4,9.9,15.8,5.7,5.8,6,4.2,3.8,5.2,5.3,5.8,5.4,4.3,4.9,4.6,4.1,5.1,4.6,8.4,6.2,4.6,7.1,12,16.6,6.3,8.6,6.1,8.8,7.9,7.4,7.2,7.2,9.6,10.8,7.2,4.1,6,5,5.9,4.4,6.3,8.2,3.5
2017,3.9,4.4,4.8,4.3,4.7,4,5.3,4.1,3.9,3.2,6.5,4.1,5.7,4.4,4.5,3.9,6.6,1.4,8.6,7.8,6.5,5.3,5.2,4.6,7,4.7,6.5,1.7,8.8,10,5.7,7.5,6,5.6,12,27,10.5,13.5,11.8,14,5.2,5.6,6.1,4.2,3.5,4.8,5.1,6.1,5.3,4.2,4.6,4.5,4.2,4.8,4.4,9.1,5.5,3.9,6.6,12,18.3,4.9,6.9,5.7,8.7,7.1,6,7,6.3,9.6,10.7,7.1,4.3,5.4,4.9,5.9,5.3,6,8.3,2.9
2018,4.0,3.9,4.7,3.7,4.2,3.9,4.5,4.0,3.8,2.7,4.9,4.2,5.2,4.1,4.1,3.9,5.5,1.2,8.7,7.3,6.4,5.1,4.7,4.1,6.8,4.2,5.7,1.5,8.6,9.7,5.2,7.5,5.6,5.1,11.6,26.6,10.5,12.1,10.5,13.7,5.0,4.9,5.0,4.2,3.3,4.8,5.0,5.4,5.1,4.2,4.4,4.4,3.7,5.0,3.7,8.0,4.8,3.2,5.6,11.2,14.8,5.2,6.1,4.9,7.6,6.1,6.7,6.8,6.3,9.3,6.9,10.2,4.9,5.4,3.8,5.6,5.1,5.3,7.0,3.1
2019,3.9,3.8,4.0,3.5,3.8,3.7,4.1,4.0,3.7,2.7,5.4,4.0,5.3,3.9,4.0,3.8,5.4,1.4,7.4,6.8,6.3,4.5,4.4,3.9,5.5,3.6,5.1,1.4,8.2,9.2,4.8,7.6,5.3,4.8,13.0,26.8,10.8,11.7,12.2,13.4,4.9,4.4,4.6,4.2,3.3,4.3,4.7,5.1,4.8,4.1,4.4,4.3,3.9,4.3,3.8,7.8,4.2,3.0,5.1,11.0,12.4,6.0,5.8,4.5,6.6,5.5,6.1,6.5,5.5,9.2,6.9,9.3,3.8,5.2,3.8,5.4,4.6,5.2,6.2,3.8
2020,4.9,4.0,5.6,4.3,5.4,4.7,5.5,4.9,4.3,3.6,6.1,5.4,5.3,4.6,4.4,4.4,7.3,2.6,8.7,7.8,7.4,6.1,5.9,5.3,7.7,5.8,6.4,2.9,8.5,9.6,5.7,7.8,7.6,5.0,15.7,30.0,14.8,14.8,15.5,18.5,6.2,5.9,6.7,5.4,3.6,6.3,6.1,5.7,5.4,4.6,5.9,5.1,4.5,5.6,4.9,8.3,5.8,3.6,6.8,14.0,18.0,8.7,5.9,6.0,7.7,6.7,6.7,8.9,8.7,10.5,7.4,9.8,3.8,5.5,4.0,6.0,5.7,5.5,6.3,4.4
2021,4.2,3.4,3.9,3.8,4.5,4.0,4.4,4.0,4.2,3.4,4.7,4.0,5.0,4.0,3.9,3.8,5.9,2.6,6.6,7.0,6.6,4.7,5.0,3.7,5.8,4.1,4.7,2.0,8.3,9.0,5.0,7.7,4.9,4.0,15.1,31.1,11.7,12.4,13.5,14.5,5.2,4.4,5.3,4.2,2.6,4.5,4.8,4.6,4.9,4.2,4.7,4.2,3.5,4.5,4.3,7.7,4.1,3.2,4.9,12.0,15.1,6.4,5.5,3.6,6.0,5.4,6.1,6.5,6.8,9.5,6.9,9.3,3.5,4.2,3.1,5.2,4.9,5.3,5.7,2.6
2022,3.7,3.2,2.6,3.5,3.1,3.9,3.4,3.0,3.7,3.1,4.0,2.9,3.5,3.3,3.8,3.6,5.0,2.2,5.8,6.7,5.6,3.4,3.1,3.3,4.8,3.1,4.1,1.8,7.1,8.1,3.5,7.0,3.5,3.5,12.2,28.7,10.0,9.9,11.9,11.0,4.3,3.4,3.6,3.6,2.3,2.9,3.2,3.4,3.8,4.1,3.5,3.7,2.7,3.4,4.2,6.5,3.5,2.7,3.1,9.8,9.6,3.3,3.7,2.7,5.0,4.1,4.7,5.3,5.1,7.4,6.5,8.7,2.9,3.4,2.6,4.2,4.1,4.2,5.2,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
